STARTDATE,ENDDATE,LASTMONTH,LASTYEAR,SAMEMONTH,MAXMINRATIO,STATENAME,MANDINAME,COMMODITY,NUMBER_OF_MATCHED,TEXT,PUBLISHEDDATE,AVG_COSINE,ARTICLETITLE,ARTICLEURL,CENTRENAME
2018-02-25,2018-04-09,Anomaly,Normal,Anomaly,0.9998639640865188,WEST BENGAL,MALDA,MASUR DAL,NA,NA,NA,NA,NA,NA,MALDA
2018-03-04,2018-04-16,Anomaly,Normal,Anomaly,0.9998639640865188,WEST BENGAL,MALDA,MASUR DAL,NA,NA,NA,NA,NA,NA,MALDA
2018-03-11,2018-04-23,Anomaly,Normal,Anomaly,0.9998639640865188,WEST BENGAL,MALDA,MASUR DAL,NA,NA,NA,NA,NA,NA,MALDA
2018-03-18,2018-04-30,Anomaly,Normal,Anomaly,0.9998639640865188,WEST BENGAL,MALDA,MASUR DAL,NA,NA,NA,NA,NA,NA,MALDA
2018-03-25,2018-05-07,Anomaly,Normal,Anomaly,0.9998639640865188,WEST BENGAL,MALDA,MASUR DAL,NA,NA,NA,NA,NA,NA,MALDA
2018-04-01,2018-05-14,Anomaly,Normal,Anomaly,0.9998639640865188,WEST BENGAL,MALDA,MASUR DAL,NA,NA,NA,NA,NA,NA,MALDA
2018-04-08,2018-05-21,Anomaly,Normal,Anomaly,0.9998639640865188,WEST BENGAL,MALDA,MASUR DAL,NA,NA,NA,NA,NA,NA,MALDA
2018-04-15,2018-05-28,Anomaly,Normal,Anomaly,0.9998639640865188,WEST BENGAL,MALDA,MASUR DAL,NA,NA,NA,NA,NA,NA,MALDA
2018-04-22,2018-06-04,Anomaly,Normal,Anomaly,0.9998639640865188,WEST BENGAL,MALDA,MASUR DAL,NA,NA,NA,NA,NA,NA,MALDA
2018-04-29,2018-06-11,Anomaly,Normal,Anomaly,0.9998639640865188,WEST BENGAL,MALDA,MASUR DAL,NA,NA,NA,NA,NA,NA,MALDA
2018-05-06,2018-06-18,Anomaly,Normal,Anomaly,0.9998639640865188,WEST BENGAL,MALDA,MASUR DAL,NA,NA,NA,NA,NA,NA,MALDA
2018-05-13,2018-06-25,Anomaly,Normal,Anomaly,0.9998639640865188,WEST BENGAL,MALDA,MASUR DAL,NA,NA,NA,NA,NA,NA,MALDA
2018-05-20,2018-07-02,Anomaly,Normal,Anomaly,0.9998639640865188,WEST BENGAL,MALDA,MASUR DAL,NA,NA,NA,NA,NA,NA,MALDA
2018-05-27,2018-07-09,Anomaly,Normal,Anomaly,0.9998639640865188,WEST BENGAL,MALDA,MASUR DAL,NA,NA,NA,NA,NA,NA,MALDA
2018-06-03,2018-07-16,Anomaly,Normal,Anomaly,0.9998639640865188,WEST BENGAL,MALDA,MASUR DAL,NA,NA,NA,NA,NA,NA,MALDA
2018-06-10,2018-07-23,Anomaly,Normal,Anomaly,0.9998639640865188,WEST BENGAL,MALDA,MASUR DAL,NA,NA,NA,NA,NA,NA,MALDA
2018-06-17,2018-07-30,Anomaly,Normal,Anomaly,0.9998639640865188,WEST BENGAL,MALDA,MASUR DAL,NA,NA,NA,NA,NA,NA,MALDA
2018-06-24,2018-08-06,Anomaly,Normal,Anomaly,0.9998639640865188,WEST BENGAL,MALDA,MASUR DAL,NA,NA,NA,NA,NA,NA,MALDA
2018-07-01,2018-08-13,Anomaly,Normal,Anomaly,0.9998639640865188,WEST BENGAL,MALDA,MASUR DAL,NA,NA,NA,NA,NA,NA,MALDA
2018-07-08,2018-08-20,Anomaly,Normal,Anomaly,0.9998639640865188,WEST BENGAL,MALDA,MASUR DAL,NA,NA,NA,NA,NA,NA,MALDA
2018-07-15,2018-08-27,Anomaly,Normal,Anomaly,0.9998639640865188,WEST BENGAL,MALDA,MASUR DAL,NA,NA,NA,NA,NA,NA,MALDA
2018-07-22,2018-09-03,Anomaly,Normal,Anomaly,0.9998639640865188,WEST BENGAL,MALDA,MASUR DAL,NA,NA,NA,NA,NA,NA,MALDA
2018-07-29,2018-09-10,Anomaly,Normal,Anomaly,0.9998639640865188,WEST BENGAL,MALDA,MASUR DAL,NA,NA,NA,NA,NA,NA,MALDA
2018-08-05,2018-09-17,Anomaly,Normal,Anomaly,0.9998639640865188,WEST BENGAL,MALDA,MASUR DAL,NA,NA,NA,NA,NA,NA,MALDA
2018-08-12,2018-09-24,Anomaly,Normal,Anomaly,0.9998639640865188,WEST BENGAL,MALDA,MASUR DAL,NA,NA,NA,NA,NA,NA,MALDA
2018-08-19,2018-10-01,Anomaly,Normal,Anomaly,0.9998639640865188,WEST BENGAL,MALDA,MASUR DAL,NA,NA,NA,NA,NA,NA,MALDA
2018-08-26,2018-10-08,Anomaly,Normal,Anomaly,0.9998639640865188,WEST BENGAL,MALDA,MASUR DAL,NA,NA,NA,NA,NA,NA,MALDA
2018-09-02,2018-10-15,Anomaly,Normal,Anomaly,0.9998639640865188,WEST BENGAL,MALDA,MASUR DAL,NA,NA,NA,NA,NA,NA,MALDA
2018-09-09,2018-10-22,Anomaly,Normal,Anomaly,0.9998639640865188,WEST BENGAL,MALDA,MASUR DAL,NA,NA,NA,NA,NA,NA,MALDA
2018-09-16,2018-10-29,Anomaly,Normal,Anomaly,0.9998639640865188,WEST BENGAL,MALDA,MASUR DAL,NA,NA,NA,NA,NA,NA,MALDA
2018-09-23,2018-11-05,Anomaly,Normal,Anomaly,0.9998639640865188,WEST BENGAL,MALDA,MASUR DAL,NA,NA,NA,NA,NA,NA,MALDA
2018-09-30,2018-11-12,Anomaly,Normal,Anomaly,0.9998639640865188,WEST BENGAL,MALDA,MASUR DAL,NA,NA,NA,NA,NA,NA,MALDA
2018-10-07,2018-11-19,Anomaly,Normal,Anomaly,0.9998639640865188,WEST BENGAL,MALDA,MASUR DAL,NA,NA,NA,NA,NA,NA,MALDA
2018-10-14,2018-11-26,Anomaly,Normal,Anomaly,0.9998639640865188,WEST BENGAL,MALDA,MASUR DAL,NA,NA,NA,NA,NA,NA,MALDA
2018-10-21,2018-12-03,Anomaly,Normal,Anomaly,0.9998639640865188,WEST BENGAL,MALDA,MASUR DAL,NA,NA,NA,NA,NA,NA,MALDA
2018-10-28,2018-12-10,Anomaly,Normal,Anomaly,0.9998639640865188,WEST BENGAL,MALDA,MASUR DAL,NA,NA,NA,NA,NA,NA,MALDA
2018-06-03,2018-07-16,Anomaly,Normal,Anomaly,0.9998630324613068,WEST BENGAL,KHARAGPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,KHARAGPUR
2018-06-10,2018-07-23,Anomaly,Normal,Anomaly,0.9998630324613068,WEST BENGAL,KHARAGPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,KHARAGPUR
2018-06-17,2018-07-30,Anomaly,Normal,Anomaly,0.9998630324613068,WEST BENGAL,KHARAGPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,KHARAGPUR
2018-06-24,2018-08-06,Anomaly,Normal,Anomaly,0.9998630324613068,WEST BENGAL,KHARAGPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,KHARAGPUR
2018-07-01,2018-08-13,Anomaly,Normal,Anomaly,0.9998630324613068,WEST BENGAL,KHARAGPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,KHARAGPUR
2018-07-08,2018-08-20,Anomaly,Normal,Anomaly,0.9998630324613068,WEST BENGAL,KHARAGPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,KHARAGPUR
2018-07-15,2018-08-27,Anomaly,Normal,Anomaly,0.9998630324613068,WEST BENGAL,KHARAGPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,KHARAGPUR
2018-07-22,2018-09-03,Anomaly,Normal,Anomaly,0.9998630324613068,WEST BENGAL,KHARAGPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,KHARAGPUR
2018-07-29,2018-09-10,Anomaly,Normal,Anomaly,0.9998630324613068,WEST BENGAL,KHARAGPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,KHARAGPUR
2017-12-24,2018-02-05,Anomaly,Normal,Anomaly,0.9998622779231512,WEST BENGAL,RAIGANJ,MASUR DAL,NA,NA,NA,NA,NA,NA,RAIGANJ
2017-12-31,2018-02-12,Anomaly,Normal,Anomaly,0.9998622779231512,WEST BENGAL,RAIGANJ,MASUR DAL,NA,NA,NA,NA,NA,NA,RAIGANJ
2018-01-07,2018-02-19,Anomaly,Normal,Anomaly,0.9998622779231512,WEST BENGAL,RAIGANJ,MASUR DAL,NA,NA,NA,NA,NA,NA,RAIGANJ
2018-02-18,2018-04-02,Anomaly,Normal,Anomaly,0.9998529627995882,WEST BENGAL,KHARAGPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,KHARAGPUR
2018-02-25,2018-04-09,Anomaly,Normal,Anomaly,0.9998529627995882,WEST BENGAL,KHARAGPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,KHARAGPUR
2018-03-04,2018-04-16,Anomaly,Normal,Anomaly,0.9998529627995882,WEST BENGAL,KHARAGPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,KHARAGPUR
2018-03-11,2018-04-23,Anomaly,Normal,Anomaly,0.9998529627995882,WEST BENGAL,KHARAGPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,KHARAGPUR
2018-03-18,2018-04-30,Anomaly,Normal,Anomaly,0.9998529627995882,WEST BENGAL,KHARAGPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,KHARAGPUR
2018-03-25,2018-05-07,Anomaly,Normal,Anomaly,0.9998529627995882,WEST BENGAL,KHARAGPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,KHARAGPUR
2018-04-01,2018-05-14,Anomaly,Normal,Anomaly,0.9998529627995882,WEST BENGAL,KHARAGPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,KHARAGPUR
2018-04-08,2018-05-21,Anomaly,Normal,Anomaly,0.9998529627995882,WEST BENGAL,KHARAGPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,KHARAGPUR
2021-05-30,2021-07-12,Anomaly,Normal,Anomaly,0.999846177511152,MADHYA PRADESH,REWA,MASUR DAL,NA,NA,NA,NA,NA,NA,REWA
2021-06-06,2021-07-19,Anomaly,Normal,Anomaly,0.999846177511152,MADHYA PRADESH,REWA,MASUR DAL,NA,NA,NA,NA,NA,NA,REWA
2021-06-13,2021-07-26,Anomaly,Normal,Anomaly,0.999846177511152,MADHYA PRADESH,REWA,MASUR DAL,NA,NA,NA,NA,NA,NA,REWA
2021-09-19,2021-11-01,Anomaly,Normal,Anomaly,0.999846177511152,MADHYA PRADESH,REWA,MASUR DAL,NA,NA,NA,NA,NA,NA,REWA
2021-09-26,2021-11-08,Anomaly,Normal,Anomaly,0.999846177511152,MADHYA PRADESH,REWA,MASUR DAL,NA,NA,NA,NA,NA,NA,REWA
2021-10-03,2021-11-15,Anomaly,Normal,Anomaly,0.999846177511152,MADHYA PRADESH,REWA,MASUR DAL,NA,NA,NA,NA,NA,NA,REWA
2021-10-10,2021-11-22,Anomaly,Normal,Anomaly,0.999846177511152,MADHYA PRADESH,REWA,MASUR DAL,NA,NA,NA,NA,NA,NA,REWA
2021-10-17,2021-11-29,Anomaly,Normal,Anomaly,0.999846177511152,MADHYA PRADESH,REWA,MASUR DAL,NA,NA,NA,NA,NA,NA,REWA
2021-10-24,2021-12-06,Anomaly,Normal,Anomaly,0.999846177511152,MADHYA PRADESH,REWA,MASUR DAL,NA,NA,NA,NA,NA,NA,REWA
2021-08-01,2021-09-13,Anomaly,Normal,Anomaly,0.9998437744102484,MADHYA PRADESH,REWA,MASUR DAL,NA,NA,NA,NA,NA,NA,REWA
2021-03-14,2021-04-26,Anomaly,Normal,Anomaly,0.9998333611064822,MADHYA PRADESH,REWA,MASUR DAL,NA,NA,NA,NA,NA,NA,REWA
2021-03-21,2021-05-03,Anomaly,Normal,Anomaly,0.9998333611064822,MADHYA PRADESH,REWA,MASUR DAL,NA,NA,NA,NA,NA,NA,REWA
2021-03-28,2021-05-10,Anomaly,Normal,Anomaly,0.9998333611064822,MADHYA PRADESH,REWA,MASUR DAL,NA,NA,NA,NA,NA,NA,REWA
2021-04-04,2021-05-17,Anomaly,Normal,Anomaly,0.9998333611064822,MADHYA PRADESH,REWA,MASUR DAL,NA,NA,NA,NA,NA,NA,REWA
2021-04-11,2021-05-24,Anomaly,Normal,Anomaly,0.9998333611064822,MADHYA PRADESH,REWA,MASUR DAL,NA,NA,NA,NA,NA,NA,REWA
2020-08-23,2020-10-05,Anomaly,Normal,Anomaly,0.9998182148700236,MADHYA PRADESH,REWA,MASUR DAL,NA,NA,NA,NA,NA,NA,REWA
2020-08-30,2020-10-12,Anomaly,Normal,Anomaly,0.9998182148700236,MADHYA PRADESH,REWA,MASUR DAL,NA,NA,NA,NA,NA,NA,REWA
2020-08-16,2020-09-28,Anomaly,Normal,Anomaly,0.999814849102018,MADHYA PRADESH,JABALPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,JABALPUR
2020-08-23,2020-10-05,Anomaly,Normal,Anomaly,0.999814849102018,MADHYA PRADESH,JABALPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,JABALPUR
2020-08-30,2020-10-12,Anomaly,Normal,Anomaly,0.999814849102018,MADHYA PRADESH,JABALPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,JABALPUR
2020-09-06,2020-10-19,Anomaly,Normal,Anomaly,0.999814849102018,MADHYA PRADESH,JABALPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,JABALPUR
2019-03-24,2019-05-06,Anomaly,Normal,Anomaly,0.9998000399920016,MADHYA PRADESH,GWALIOR,MASUR DAL,NA,NA,NA,NA,NA,NA,GWALIOR
2019-03-31,2019-05-13,Anomaly,Normal,Anomaly,0.9998000399920016,MADHYA PRADESH,GWALIOR,MASUR DAL,NA,NA,NA,NA,NA,NA,GWALIOR
2019-03-24,2019-05-06,Anomaly,Normal,Anomaly,0.9997959600081616,MADHYA PRADESH,JABALPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,JABALPUR
2019-03-31,2019-05-13,Anomaly,Normal,Anomaly,0.9997959600081616,MADHYA PRADESH,JABALPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,JABALPUR
2019-04-07,2019-05-20,Anomaly,Normal,Anomaly,0.9997959600081616,MADHYA PRADESH,JABALPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,JABALPUR
2019-04-14,2019-05-27,Anomaly,Normal,Anomaly,0.9997959600081616,MADHYA PRADESH,JABALPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,JABALPUR
2019-05-05,2019-06-17,Anomaly,Normal,Anomaly,0.9997959600081616,MADHYA PRADESH,JABALPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,JABALPUR
2019-05-12,2019-06-24,Anomaly,Normal,Anomaly,0.9997959600081616,MADHYA PRADESH,JABALPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,JABALPUR
2019-05-19,2019-07-01,Anomaly,Normal,Anomaly,0.9997959600081616,MADHYA PRADESH,JABALPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,JABALPUR
2019-05-26,2019-07-08,Anomaly,Normal,Anomaly,0.9997959600081616,MADHYA PRADESH,JABALPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,JABALPUR
2019-06-02,2019-07-15,Anomaly,Normal,Anomaly,0.9997959600081616,MADHYA PRADESH,JABALPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,JABALPUR
2019-06-09,2019-07-22,Anomaly,Normal,Anomaly,0.9997959600081616,MADHYA PRADESH,JABALPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,JABALPUR
2019-06-16,2019-07-29,Anomaly,Normal,Anomaly,0.9997959600081616,MADHYA PRADESH,JABALPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,JABALPUR
2019-06-23,2019-08-05,Anomaly,Normal,Anomaly,0.9997959600081616,MADHYA PRADESH,JABALPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,JABALPUR
2019-06-30,2019-08-12,Anomaly,Normal,Anomaly,0.9997959600081616,MADHYA PRADESH,JABALPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,JABALPUR
2019-07-07,2019-08-19,Anomaly,Normal,Anomaly,0.9997959600081616,MADHYA PRADESH,JABALPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,JABALPUR
2019-07-14,2019-08-26,Anomaly,Normal,Anomaly,0.9997959600081616,MADHYA PRADESH,JABALPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,JABALPUR
2018-07-29,2018-09-10,Anomaly,Normal,Anomaly,0.99978265594436,MADHYA PRADESH,REWA,MASUR DAL,NA,NA,NA,NA,NA,NA,REWA
2018-08-05,2018-09-17,Anomaly,Normal,Anomaly,0.99978265594436,MADHYA PRADESH,REWA,MASUR DAL,NA,NA,NA,NA,NA,NA,REWA
2018-08-19,2018-10-01,Anomaly,Normal,Anomaly,0.99978265594436,MADHYA PRADESH,REWA,MASUR DAL,NA,NA,NA,NA,NA,NA,REWA
2018-08-26,2018-10-08,Anomaly,Normal,Anomaly,0.99978265594436,MADHYA PRADESH,REWA,MASUR DAL,NA,NA,NA,NA,NA,NA,REWA
2018-09-02,2018-10-15,Anomaly,Normal,Anomaly,0.99978265594436,MADHYA PRADESH,REWA,MASUR DAL,NA,NA,NA,NA,NA,NA,REWA
2018-09-09,2018-10-22,Anomaly,Normal,Anomaly,0.99978265594436,MADHYA PRADESH,REWA,MASUR DAL,NA,NA,NA,NA,NA,NA,REWA
2021-02-21,2021-04-05,Anomaly,Normal,Normal,1.7782738095315622,WEST BENGAL,SILIGURI,MASUR DAL,NA,NA,NA,NA,NA,NA,KOLKATA
2021-02-28,2021-04-12,Anomaly,Normal,Normal,1.4819407843745156,WEST BENGAL,SILIGURI,MASUR DAL,NA,NA,NA,NA,NA,NA,KOLKATA
2021-03-07,2021-04-19,Anomaly,Normal,Normal,1.4819407843745156,WEST BENGAL,SILIGURI,MASUR DAL,NA,NA,NA,NA,NA,NA,KOLKATA
2019-05-12,2019-06-24,Anomaly,Normal,Normal,1.1772294791162716,WEST BENGAL,KHARAGPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,KHARAGPUR
2021-03-07,2021-04-19,Anomaly,Normal,Normal,1.1664722546242292,MADHYA PRADESH,GWALIOR,MASUR DAL,NA,NA,NA,NA,NA,NA,GWALIOR
2019-10-13,2019-11-25,Anomaly,Normal,Normal,1.1664236617371382,WEST BENGAL,KOLKATA,MASUR DAL,NA,NA,NA,NA,NA,NA,KOLKATA
2019-10-20,2019-12-02,Anomaly,Normal,Normal,1.1664236617371382,WEST BENGAL,KOLKATA,MASUR DAL,NA,NA,NA,NA,NA,NA,KOLKATA
2019-05-26,2019-07-08,Anomaly,Normal,Normal,1.1640053723324877,WEST BENGAL,SILIGURI,MASUR DAL,NA,NA,NA,NA,NA,NA,KOLKATA
2019-06-02,2019-07-15,Anomaly,Normal,Normal,1.1640053723324877,WEST BENGAL,SILIGURI,MASUR DAL,NA,NA,NA,NA,NA,NA,KOLKATA
2017-05-21,2017-07-03,Anomaly,Normal,Normal,1.1598453539528062,WEST BENGAL,PURULIA,MASUR DAL,NA,NA,NA,NA,NA,NA,PURULIA
2017-05-28,2017-07-10,Anomaly,Normal,Normal,1.1598453539528062,WEST BENGAL,PURULIA,MASUR DAL,NA,NA,NA,NA,NA,NA,PURULIA
2019-02-03,2019-03-18,Anomaly,Normal,Normal,1.1519234948924146,MADHYA PRADESH,REWA,MASUR DAL,NA,NA,NA,NA,NA,NA,REWA
2019-06-09,2019-07-22,Anomaly,Normal,Normal,1.1515936937024724,WEST BENGAL,SILIGURI,MASUR DAL,NA,NA,NA,NA,NA,NA,KOLKATA
2019-10-06,2019-11-18,Anomaly,Normal,Normal,1.1455946677775464,WEST BENGAL,KOLKATA,MASUR DAL,NA,NA,NA,NA,NA,NA,KOLKATA
2020-03-01,2020-04-13,Anomaly,Normal,Normal,1.1318619128466327,WEST BENGAL,KOLKATA,MASUR DAL,NA,NA,NA,NA,NA,NA,KOLKATA
2020-03-08,2020-04-20,Anomaly,Normal,Normal,1.1318619128466327,WEST BENGAL,KOLKATA,MASUR DAL,NA,NA,NA,NA,NA,NA,KOLKATA
2017-04-16,2017-05-29,Anomaly,Normal,Normal,1.1263073209975865,WEST BENGAL,PURULIA,MASUR DAL,NA,NA,NA,NA,NA,NA,PURULIA
2018-10-21,2018-12-03,Anomaly,Normal,Normal,1.121376432443969,WEST BENGAL,SILIGURI,MASUR DAL,NA,NA,NA,NA,NA,NA,KOLKATA
2021-06-20,2021-08-02,Anomaly,Normal,Normal,1.1146695828776754,WEST BENGAL,SILIGURI,MASUR DAL,NA,NA,NA,NA,NA,NA,KOLKATA
2021-03-14,2021-04-26,Anomaly,Normal,Normal,1.1109347722583718,MADHYA PRADESH,GWALIOR,MASUR DAL,NA,NA,NA,NA,NA,NA,GWALIOR
2021-03-21,2021-05-03,Anomaly,Normal,Normal,1.1109347722583718,MADHYA PRADESH,GWALIOR,MASUR DAL,NA,NA,NA,NA,NA,NA,GWALIOR
2018-03-25,2018-05-07,Anomaly,Normal,Normal,1.1109347722583718,WEST BENGAL,RAIGANJ,MASUR DAL,NA,NA,NA,NA,NA,NA,RAIGANJ
2021-03-07,2021-04-19,Anomaly,Normal,Normal,1.1075219197046609,WEST BENGAL,KOLKATA,MASUR DAL,NA,NA,NA,NA,NA,NA,KOLKATA
2021-03-14,2021-04-26,Anomaly,Normal,Normal,1.1075219197046609,WEST BENGAL,KOLKATA,MASUR DAL,NA,NA,NA,NA,NA,NA,KOLKATA
2021-06-27,2021-08-09,Anomaly,Normal,Normal,1.1060300728569217,WEST BENGAL,SILIGURI,MASUR DAL,NA,NA,NA,NA,NA,NA,KOLKATA
2021-07-04,2021-08-16,Anomaly,Normal,Normal,1.1060300728569217,WEST BENGAL,SILIGURI,MASUR DAL,NA,NA,NA,NA,NA,NA,KOLKATA
2019-05-26,2019-07-08,Anomaly,Normal,Normal,1.1039366798583627,WEST BENGAL,KOLKATA,MASUR DAL,NA,NA,NA,NA,NA,NA,KOLKATA
2020-12-20,2021-02-01,Anomaly,Normal,Normal,1.1032580589553524,WEST BENGAL,KOLKATA,MASUR DAL,NA,NA,NA,NA,NA,NA,KOLKATA
2020-12-13,2021-01-25,Anomaly,Normal,Normal,1.1015082189459413,WEST BENGAL,KOLKATA,MASUR DAL,NA,NA,NA,NA,NA,NA,KOLKATA
2018-04-29,2018-06-11,Anomaly,Normal,Normal,1.0997250687328168,MADHYA PRADESH,GWALIOR,MASUR DAL,NA,NA,NA,NA,NA,NA,GWALIOR
2021-11-14,2021-12-27,Anomaly,Normal,Normal,1.0988206335617587,MADHYA PRADESH,JABALPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,JABALPUR
2021-02-28,2021-04-12,Anomaly,Normal,Normal,1.0935791282612093,WEST BENGAL,KOLKATA,MASUR DAL,NA,NA,NA,NA,NA,NA,KOLKATA
2019-04-28,2019-06-10,Anomaly,Normal,Normal,1.0916139563309075,WEST BENGAL,KOLKATA,MASUR DAL,NA,NA,NA,NA,NA,NA,KOLKATA
2019-05-19,2019-07-01,Anomaly,Normal,Normal,1.0916139563309075,WEST BENGAL,KOLKATA,MASUR DAL,NA,NA,NA,NA,NA,NA,KOLKATA
2018-04-01,2018-05-14,Anomaly,Normal,Normal,1.0888924152740795,WEST BENGAL,RAIGANJ,MASUR DAL,NA,NA,NA,NA,NA,NA,RAIGANJ
2019-06-02,2019-07-15,Anomaly,Normal,Normal,1.0831076858987712,WEST BENGAL,KOLKATA,MASUR DAL,NA,NA,NA,NA,NA,NA,KOLKATA
2021-02-21,2021-04-05,Anomaly,Normal,Normal,1.0791937787652754,WEST BENGAL,KOLKATA,MASUR DAL,NA,NA,NA,NA,NA,NA,KOLKATA
2018-01-28,2018-03-12,Anomaly,Normal,Normal,1.0711735301118779,WEST BENGAL,KOLKATA,MASUR DAL,NA,NA,NA,NA,NA,NA,KOLKATA
2018-02-04,2018-03-19,Anomaly,Normal,Normal,1.0711735301118779,WEST BENGAL,KOLKATA,MASUR DAL,NA,NA,NA,NA,NA,NA,KOLKATA
2018-02-11,2018-03-26,Anomaly,Normal,Normal,1.0711735301118779,WEST BENGAL,KOLKATA,MASUR DAL,NA,NA,NA,NA,NA,NA,KOLKATA
2018-10-14,2018-11-26,Anomaly,Normal,Normal,1.066429682292824,MADHYA PRADESH,JABALPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,JABALPUR
2018-10-21,2018-12-03,Anomaly,Normal,Normal,1.066429682292824,MADHYA PRADESH,JABALPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,JABALPUR
2018-10-28,2018-12-10,Anomaly,Normal,Normal,1.066429682292824,MADHYA PRADESH,JABALPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,JABALPUR
2019-08-11,2019-09-23,Anomaly,Normal,Normal,1.0636034886194428,WEST BENGAL,KOLKATA,MASUR DAL,NA,NA,NA,NA,NA,NA,KOLKATA
2019-08-18,2019-09-30,Anomaly,Normal,Normal,1.0636034886194428,WEST BENGAL,KOLKATA,MASUR DAL,NA,NA,NA,NA,NA,NA,KOLKATA
2017-03-26,2017-05-08,Anomaly,Normal,Normal,1.0593976907511011,WEST BENGAL,RAIGANJ,MASUR DAL,NA,NA,NA,NA,NA,NA,RAIGANJ
2017-04-09,2017-05-22,Anomaly,Normal,Normal,1.058698976590989,WEST BENGAL,RAIGANJ,MASUR DAL,NA,NA,NA,NA,NA,NA,RAIGANJ
2019-04-28,2019-06-10,Anomaly,Normal,Normal,1.0549519760667612,WEST BENGAL,RAIGANJ,MASUR DAL,NA,NA,NA,NA,NA,NA,RAIGANJ
2019-05-05,2019-06-17,Anomaly,Normal,Normal,1.0549519760667612,WEST BENGAL,RAIGANJ,MASUR DAL,NA,NA,NA,NA,NA,NA,RAIGANJ
2019-05-12,2019-06-24,Anomaly,Normal,Normal,1.0549519760667612,WEST BENGAL,RAIGANJ,MASUR DAL,NA,NA,NA,NA,NA,NA,RAIGANJ
2018-05-06,2018-06-18,Anomaly,Normal,Normal,1.0473696738871696,MADHYA PRADESH,GWALIOR,MASUR DAL,NA,NA,NA,NA,NA,NA,GWALIOR
2018-04-29,2018-06-11,Anomaly,Normal,Normal,1.0473696738871696,WEST BENGAL,KOLKATA,MASUR DAL,NA,NA,NA,NA,NA,NA,KOLKATA
2018-05-06,2018-06-18,Anomaly,Normal,Normal,1.0473696738871696,WEST BENGAL,KOLKATA,MASUR DAL,NA,NA,NA,NA,NA,NA,KOLKATA
2018-05-13,2018-06-25,Anomaly,Normal,Normal,1.0473696738871696,WEST BENGAL,KOLKATA,MASUR DAL,NA,NA,NA,NA,NA,NA,KOLKATA
2018-05-20,2018-07-02,Anomaly,Normal,Normal,1.0473696738871696,WEST BENGAL,KOLKATA,MASUR DAL,NA,NA,NA,NA,NA,NA,KOLKATA
2017-04-02,2017-05-15,Anomaly,Normal,Normal,1.0469356546288673,WEST BENGAL,RAIGANJ,MASUR DAL,NA,NA,NA,NA,NA,NA,RAIGANJ
2018-08-12,2018-09-24,Anomaly,Normal,Normal,1.0452169961372415,MADHYA PRADESH,JABALPUR,MASUR DAL,NA,NA,NA,NA,NA,NA,JABALPUR
2018-09-23,2018-11-05,Anomaly,Normal,Normal,1.0423314188470538,WEST BENGAL,KOLKATA,MASUR DAL,NA,NA,NA,NA,NA,NA,KOLKATA
2018-08-05,2018-09-17,Anomaly,Normal,Normal,1.0414496979795875,MADHYA PRADESH,BHOPAL,MASUR DAL,NA,NA,NA,NA,NA,NA,BHOPAL
2018-09-23,2018-11-05,Anomaly,Normal,Normal,1.0414496979795875,MADHYA PRADESH,GWALIOR,MASUR DAL,NA,NA,NA,NA,NA,NA,GWALIOR
