<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:80fa0a00bb6cdb2125256843d6c2fed1a69bb72ec10b3d2d8b630b72a7005a49
size 75416
=======
DATE,AVG,STD
2019-08-22,7562.5,303.8811445285805
2019-08-23,7562.5,303.8811445285805
2019-08-24,7575.0,323.0711995830021
2019-08-25,7575.0,323.0711995830021
2019-08-26,7575.0,323.0711995830021
2019-08-27,7587.5,344.37443284889775
2019-08-28,7587.5,344.37443284889775
2019-08-29,7625.0,366.5719574653795
2019-08-30,7637.5,390.3123748998999
2019-08-31,7725.0,334.4772040064913
2019-09-01,7777.367424236407,319.7612399282634
2019-09-02,7834.384057966368,316.07572418836037
2019-09-03,7862.5,353.33235062756427
2019-09-04,7862.5,387.09656418005056
2019-09-05,7875.0,414.578098794425
2019-09-06,7900.0,452.76925690687085
2019-09-07,7912.5,480.72211307573525
2019-09-08,7887.5,472.19566918810256
2019-09-09,7862.5,468.8749833377763
2019-09-10,7862.5,468.8749833377763
2019-09-11,7862.5,468.8749833377763
2019-09-12,7862.5,468.8749833377763
2019-09-13,7862.5,468.8749833377763
2019-09-14,7862.5,468.8749833377763
2019-09-15,7862.5,468.8749833377763
2019-09-16,7875.0,460.2988159880492
2019-09-17,7862.5,466.2014049742879
2019-09-18,7850.0,435.88989435406734
2019-09-19,7837.5,406.0095442227929
2019-09-20,7825.0,376.6629793329841
2019-09-21,7787.5,329.5356581616017
2019-09-22,7787.5,329.5356581616017
2019-09-23,7775.0,303.10889132455355
2019-09-24,7775.0,303.10889132455355
2019-09-25,7775.0,303.10889132455355
2019-09-26,7775.0,303.10889132455355
2019-09-27,7800.0,324.037034920393
2019-09-28,7812.5,351.55902776063084
2019-09-29,7812.5,351.55902776063084
2019-09-30,7825.0,341.8698582794336
2019-10-01,7837.5,370.5991770093398
2019-10-02,7837.5,370.5991770093398
2019-10-03,7850.0,400.0
2019-10-04,7850.0,400.0
2019-10-05,7837.5,396.66579131556074
2019-10-06,7837.5,396.66579131556074
2019-10-07,7837.5,396.66579131556074
2019-10-08,7837.5,396.66579131556074
2019-10-09,7837.5,396.66579131556074
2019-10-10,7825.0,366.5719574653795
2019-10-11,7850.0,350.0
2019-10-12,7850.0,350.0
2019-10-13,7850.0,350.0
2019-10-14,7887.5,347.9852726768764
2019-10-15,7887.5,347.9852726768764
2019-10-16,7912.5,333.30729064933456
2019-10-17,7937.5,331.4268395890713
2019-10-18,7962.5,349.77671449083056
2019-10-19,7975.0,379.9671038392666
2019-10-20,7975.0,379.9671038392666
2019-10-21,7975.0,379.9671038392666
2019-10-22,7975.0,379.9671038392666
2019-10-23,7975.0,379.9671038392666
2019-10-24,7975.0,379.9671038392666
2019-10-25,7950.0,421.30748865881793
2019-10-26,7950.0,421.30748865881793
2019-10-27,7950.0,421.30748865881793
2019-10-28,8012.5,416.64583281247394
2019-10-29,8012.5,416.64583281247394
2019-10-30,8012.5,416.64583281247394
2019-10-31,8037.5,421.1220131980754
2019-11-01,8162.5,383.8538133196022
2019-11-02,8162.5,383.8538133196022
2019-11-03,8162.5,383.8538133196022
2019-11-04,8225.0,432.29041164476456
2019-11-05,8275.0,471.0360920354193
2019-11-06,8312.5,506.05706199992903
2019-11-07,8400.0,565.685424949238
2019-11-08,8418.749999997657,565.6508971933438
2019-11-09,8412.5,555.5121510822242
2019-11-10,8400.0,536.1902647381804
2019-11-11,8537.5,630.3520841561484
2019-11-12,8550.0,636.3961030678928
2019-11-13,8562.5,644.0836513994126
2019-11-14,8575.0,653.356717268599
2019-11-15,8587.5,664.1488914392615
2019-11-16,8600.0,676.3874629234341
2019-11-17,8600.0,676.3874629234341
2019-11-18,8612.5,688.1814804250403
2019-11-19,8725.0,629.9801584177077
2019-11-20,8737.5,644.0836513994126
2019-11-21,8737.5,616.3146517810525
2019-11-22,8725.0,558.457697592217
2019-11-23,8725.0,558.457697592217
2019-11-24,8725.0,558.457697592217
2019-11-25,8687.5,550.9934210133548
2019-11-26,8650.0,538.5164807134504
2019-11-27,8637.5,540.6882188470543
2019-11-28,8637.5,540.6882188470543
2019-11-29,8687.5,553.2573994082682
2019-11-30,8687.5,553.2573994082682
2019-12-01,8687.5,553.2573994082682
2019-12-02,8662.5,552.1265706339444
2019-12-03,8662.5,569.9506557588999
2019-12-04,8625.0,573.9120141624499
2019-12-05,8625.0,573.9120141624499
2019-12-06,8625.0,573.9120141624499
2019-12-07,8625.0,573.9120141624499
2019-12-08,8625.0,573.9120141624499
2019-12-09,8587.5,584.0323193111833
2019-12-10,8587.5,584.0323193111833
2019-12-11,8550.0,563.4713834792323
2019-12-12,8537.5,545.292352779681
2019-12-13,8475.0,457.5751304430782
2019-12-14,8475.0,457.5751304430782
2019-12-15,8470.833333330207,451.0597090261577
2019-12-16,8450.0,438.7482193696061
2019-12-17,8437.5,421.1220131980754
2019-12-18,8425.0,405.4318685056714
2019-12-19,8425.0,405.4318685056714
2019-12-20,8437.5,421.1220131980754
2019-12-21,8450.0,438.7482193696061
2019-12-22,8450.0,438.7482193696061
2019-12-23,8475.0,457.5751304430782
2019-12-24,8462.5,438.5701198212208
2019-12-25,8462.5,438.5701198212208
2019-12-26,8462.5,438.5701198212208
2019-12-27,8487.5,445.6385867493972
2019-12-28,8487.5,445.6385867493972
2019-12-29,8487.5,445.6385867493972
2019-12-30,8500.0,484.7679857416329
2019-12-31,8525.0,499.3746088859545
2020-01-01,8525.0,499.3746088859545
2020-01-02,8525.0,499.3746088859545
2020-01-03,8562.5,507.2905971925756
2020-01-04,8581.25,514.7435647970744
2020-01-05,8600.0,526.7826876426369
2020-01-06,8625.0,540.2545696243577
2020-01-07,8737.5,574.3202503830071
2020-01-08,8737.5,574.3202503830071
2020-01-09,8787.5,568.8530126491377
2020-01-10,8800.0,585.2349955359813
2020-01-11,8800.0,585.2349955359813
2020-01-12,8800.0,585.2349955359813
2020-01-13,8850.0,622.4949798994367
2020-01-14,8850.0,622.4949798994367
2020-01-15,8850.0,622.4949798994367
2020-01-16,8937.5,630.3520841561484
2020-01-17,8975.0,641.7748826496718
2020-01-18,8987.5,648.9173676208706
2020-01-19,9000.0,657.6473218982952
2020-01-20,9075.0,710.1936355670896
2020-01-21,9125.0,739.509972887452
2020-01-22,9137.5,753.2222447591414
2020-01-23,9137.5,753.2222447591414
2020-01-24,9162.5,784.1197293781097
2020-01-25,9162.5,784.1197293781097
2020-01-26,9162.5,784.1197293781097
2020-01-27,9162.5,784.1197293781097
2020-01-28,9112.5,757.3597229850554
2020-01-29,9100.0,741.6198487095663
2020-01-30,9087.5,727.0445309607934
2020-01-31,9162.5,754.8799573442125
2020-02-01,9137.5,746.5545860819556
2020-02-02,9137.5,746.5545860819556
2020-02-03,9125.0,744.5636305917715
2020-02-04,9125.0,744.5636305917715
2020-02-05,9125.0,744.5636305917715
2020-02-06,9125.0,744.5636305917715
2020-02-07,9112.5,732.1842322803735
2020-02-08,9129.861110802469,696.9119363309829
2020-02-09,9157.638889197531,643.2816221557848
2020-02-10,9187.5,625.3748875674494
2020-02-11,9200.0,640.3124237432849
2020-02-12,9187.5,639.2133837772798
2020-02-13,9325.0,491.80788932265006
2020-02-14,9400.0,580.9475019311126
2020-02-15,9400.0,580.9475019311126
2020-02-16,9393.75,571.4222934922998
2020-02-17,9400.0,576.6281297335398
2020-02-18,9400.0,576.6281297335398
2020-02-19,9400.0,576.6281297335398
2020-02-20,9400.0,576.6281297335398
2020-02-21,9400.0,576.6281297335398
2020-02-22,9400.0,576.6281297335398
2020-02-23,9400.0,576.6281297335398
2020-02-24,9400.0,576.6281297335398
2020-02-25,9400.0,576.6281297335398
2020-02-26,9400.0,576.6281297335398
2020-02-27,9400.0,576.6281297335398
2020-02-28,9400.0,576.6281297335398
2020-02-29,9400.0,576.6281297335398
2020-03-01,9400.0,576.6281297335398
2020-03-02,9400.0,576.6281297335398
2020-03-03,9425.0,571.7298313014636
2020-03-04,9525.0,597.390157267426
